"Date","Region","Place","Trigger","Trigger..additional.info","Weak.Layer","Depth","Width","Vertical","Aspect","Elevation","Coordinates","Caught","Carried","Buried...Partly","Buried...Fully","Injured","Killed"
"2012-11-09","Salt Lake","Sunset Peak","Snowboarder","Unintentionally Triggered","New Snow/Old Snow Interface","14""","80'","30'","North","10,400'","40.577977000000, -111.595817000000",1,NA,NA,NA,NA,NA
"2012-11-10","Salt Lake","Pioneer Ridge","Skier","Remotely Triggered","Facets","2'","20'","125'","North","9,900'","",NA,NA,NA,NA,NA,NA
"2012-11-10","Salt Lake","Pioneer Bowl","Natural","","Facets","","","","North","9,700'","",NA,NA,NA,NA,NA,NA
"2012-11-11","Salt Lake","Patsy Marly","Skier","Unintentionally Triggered","New Snow/Old Snow Interface","2.5'","100'","100'","North","9,700'","40.592619000000, -111.616099000000",NA,1,NA,NA,NA,NA
"2012-11-11","Salt Lake","Two Dogs","Skier","Remotely Triggered","Facets","3'","70'","450'","North","10,200'","40.599291000000, -111.642315000000",NA,NA,NA,NA,NA,NA
"2012-11-11","Salt Lake","Emma Ridges","Skier","Remotely Triggered","New Snow","18""","50'","500'","Southeast","10,200'","40.598313000000, -111.628304000000",NA,NA,NA,NA,NA,NA
"2012-11-11","Salt Lake","Sunset Peak","Skier","Remotely Triggered","Facets","3.5'","1,500'","800'","North","10,400'","40.578590000000, -111.595087000000",NA,NA,NA,NA,NA,NA
"2012-11-10","Salt Lake","Grizzly Gulch","Skier","Unintentionally Triggered","New Snow/Old Snow Interface","2'","125'","150'","North","10,000'","40.591275000000, -111.612425000000",NA,NA,NA,NA,NA,NA
"2012-11-12","Salt Lake","Silver Fork Headwall","Skier","Intentionally Triggered","Facets","2.5'","60'","400'","Northeast","9,900'","40.598541000000, -111.627402000000",NA,NA,NA,NA,NA,NA
"2012-11-29","Salt Lake","Snake Creek","Skier","Unintentionally Triggered","Graupel","6""","15'","200'","Northeast","9,700'","",NA,NA,NA,NA,NA,NA
"2012-12-04","Logan","Mt. Magog","Skier","Intentionally Triggered","Density Change","18""","40'","","Northeast","9,400'","41.915787000000, -111.654224000000",NA,NA,NA,NA,NA,NA
"2012-12-08","Salt Lake","Superior","Unknown","","New Snow","","80'","","South","","40.588407000000, -111.659546000000",2,2,NA,NA,NA,NA
"2012-12-08","Salt Lake","Banana Days","Skier","Unintentionally Triggered","Facets","2'","60'","600'","North","10,300'","40.606915000000, -111.643667000000",NA,NA,NA,NA,NA,NA
"2012-12-09","Salt Lake","Squaretop","Skier","","Facets","16""","100'","","East","9,500'","40.666073000000, -111.601825000000",1,1,NA,NA,NA,NA
"2012-12-09","Salt Lake","Butler Fork","Skier","Intentionally Triggered","Facets","18""","150'","200'","East","9,400'","40.662280000000, -111.645341000000",1,NA,NA,NA,NA,NA
"2012-12-10","Salt Lake","Little Water Peak","Skier","Intentionally Triggered","Facets","18""","250'","400'","East","9,500'","40.672143000000, -111.627016000000",NA,NA,NA,NA,NA,NA
"2012-12-11","Salt Lake","MacDonalds Draw","Skier","Sympathetic Release","Facets","2'","100'","400'","Northeast","9,700'","40.644629000000, -111.577899000000",NA,NA,NA,NA,NA,NA
"2012-12-11","Salt Lake","Jupiter","Skier","Remotely Triggered","Facets","18""","500'","","Northeast","9,800'","",NA,NA,NA,NA,NA,NA
"2012-12-13","Salt Lake","Cardiff Fork","","Intentionally Triggered","Ground Interface","3'","50'","800'","North","10,000'","40.594924000000, -111.655941000000",NA,NA,NA,NA,NA,NA
"2012-12-12","Skyline","Wedding Ring Ridge","Snowmobiler","Unintentionally Triggered","Facets","12""","150'","40'","North","9,600'","39.619111000000, -111.293564000000",NA,NA,NA,NA,NA,NA
"2012-12-14","Salt Lake","Millicent Peak","Explosive","Intentionally Triggered","Surface Hoar","4'","300'","900'","Northeast","10,300'","40.582149000000, -111.585217000000",NA,NA,NA,NA,NA,NA
"2012-12-14","Salt Lake","Two Dogs","Unknown","Cornice Triggered","Facets","2.5'","60'","600'","North","10,100'","40.599291000000, -111.641221000000",NA,NA,NA,NA,NA,NA
"2012-12-14","Salt Lake","Cardiac Bowl","Skier","Sympathetic Release","Depth Hoar","14""","20'","","North","10,700'","40.592578000000, -111.664824000000",NA,NA,NA,NA,NA,NA
"2012-12-15","Salt Lake","Sound of Music","Skier","Intentionally Triggered","New Snow/Old Snow Interface","14""","50'","","East","9,100'","40.684706000000, -111.599979000000",NA,NA,NA,NA,NA,NA
"2012-12-15","Salt Lake","Rocky Point","Skier","","Density Change","","","125'","Northeast","10,400'","40.578336000000, -111.597362000000",1,1,NA,NA,1,NA
"2012-12-17","Salt Lake","MacDonalds Draw","Natural","","","3'","200'","800'","Southeast","9,300'","40.653220000000, -111.584487000000",NA,NA,NA,NA,NA,NA
"2012-12-16","Skyline","Wedding Ring Ridge","Natural","","Facets","15""","250'","125'","Northeast","9,600'","39.603572000000, -111.282921000000",NA,NA,NA,NA,NA,NA
"2012-12-17","Salt Lake","Brighton Hill","Natural","Cornice Triggered","New Snow/Old Snow Interface","10""","5'","50'","North","9,600'","40.604732000000, -111.570325000000",NA,NA,NA,NA,NA,NA
"2012-12-17","Salt Lake","Millicent Peak","","","Facets","2'","50'","","North","9,900'","40.592578000000, -111.596117000000",NA,NA,NA,NA,NA,NA
"2012-12-17","Uintas","Uintas","Natural","Cornice Triggered","Facets","2.5'","125'","200'","Northeast","9,500'","40.840762000000, -111.048431000000",NA,NA,NA,NA,NA,NA
"2012-12-17","Logan","Logan","Natural","","","","","2,000'","East","9,000'","41.638026000000, -111.989136000000",NA,NA,NA,NA,NA,NA
"2012-12-17","Logan","Logan","Natural","","","","","","East","9,300'","41.916585000000, -111.653023000000",NA,NA,NA,NA,NA,NA
"2012-12-18","Salt Lake","Millicent Peak","Explosive","","Facets","3.5'","250'","","Northeast","10,200'","",NA,NA,NA,NA,NA,NA
"2012-12-18","Salt Lake","Lacawaxan","Snowboarder","Unintentionally Triggered","New Snow/Old Snow Interface","3'","80'","150'","Northeast","10,200'","40.596326000000, -111.559682000000",NA,NA,NA,NA,NA,NA
"2012-12-18","Uintas","Currant Creek Peak","Natural","Cornice Triggered","Facets","5'","1,000'","500'","Northeast","10,400'","40.379309000000, -111.174345000000",NA,NA,NA,NA,NA,NA
"2012-12-18","Uintas","Four Eagle Bowl","","Remotely Triggered","Ground Interface","5'","400'","300'","Northeast","9,700'","40.832473000000, -111.065083000000",NA,NA,NA,NA,NA,NA
"2012-12-18","Provo","Provo","Natural","","Facets","2.5'","","","East","8,500'","",NA,NA,NA,NA,NA,NA
"2012-12-19","Salt Lake","Dutch Draw","Snowboarder","Remotely Triggered","New Snow/Old Snow Interface","2.5'","300'","700'","East","9,800'","40.654564000000, -111.593585000000",NA,NA,NA,NA,NA,NA
"2012-12-17","Salt Lake","Bullen Basin","Natural","","Facets","3'","80'","500'","Northeast","9,600'","41.931369000000, -111.670232000000",NA,NA,NA,NA,NA,NA
"2012-12-20","Salt Lake","Maybird Gulch","Natural","","","","","","Northeast","10,000'","40.540026000000, -111.706538000000",NA,NA,NA,NA,NA,NA
"2012-12-20","Provo","Elk Point","Natural","","Facets","2.5'","100'","3,000'","East","9,800'","40.388980000000, -111.621244000000",NA,NA,NA,NA,NA,NA
"2012-12-20","Skyline","Big Drift/Skyline Summit","Snowboarder","Remotely Triggered","Facets","4'","250'","300'","Northeast","9,400'","39.619045000000, -111.325922000000",NA,NA,NA,NA,NA,NA
"2012-12-20","Uintas","Roundy Basin","Snowboarder","Remotely Triggered","Facets","4""","800'","300'","Northeast","","40.387874000000, -111.176577000000",NA,NA,NA,NA,NA,NA
"2012-12-21","Salt Lake","Cinder Chutes","Natural","","Facets","","","","East","9,400'","40.671167000000, -111.599808000000",NA,NA,NA,NA,NA,NA
"2012-12-18","Provo","Mary Ellen Gulch","Unknown","","","2'","","","East","9,900'","40.536935000000, -111.638470000000",NA,NA,NA,NA,NA,NA
"2012-12-20","Uintas","Whitney Basin","Snowmobiler","Remotely Triggered","Facets","4'","150'","300'","Northeast","10,000'","40.872767000000, -110.973930000000",NA,NA,NA,NA,NA,NA
"2012-12-21","Skyline","Lake Canyon","Snowmobiler","Remotely Triggered","Ground Interface","3.5'","800'","600'","Northeast","10,200'","39.571028000000, -111.285968000000",NA,NA,NA,NA,NA,NA
"2012-12-21","Skyline","Lake Canyon","Snowmobiler","Remotely Triggered","Facets","4'","900'","800'","Northeast","","",NA,NA,NA,NA,NA,NA
"2012-12-22","Uintas","Moffit Basin","Snowmobiler","Unintentionally Triggered","Facets","3'","500'","300'","Northeast","10,400'","40.838132000000, -111.014614000000",NA,NA,NA,NA,NA,NA
"2012-12-22","Uintas","Duchesne Ridge","Snowmobiler","Unintentionally Triggered","Facets","3'","150'","100'","Northeast","9,500'","40.469698000000, -111.098557000000",NA,NA,NA,NA,NA,NA
"2012-12-23","Salt Lake","Cardiff Fork","Unknown","","New Snow/Old Snow Interface","4.5'","35'","150'","West","9,700'","40.604635000000, -111.648259000000",NA,NA,NA,NA,NA,NA
"2012-12-23","Salt Lake","Murdock Peak","Unknown","","","2'","70'","","North","9,400'","40.693394000000, -111.602125000000",NA,NA,NA,NA,NA,NA
"2012-12-24","Logan","Amazon Basin","Unknown","Remotely Triggered","","2.5'","150'","40'","Northeast","","",NA,NA,NA,NA,NA,NA
"2012-12-26","Salt Lake","White Pine","Skier","Unintentionally Triggered","New Snow/Old Snow Interface","2.5'","50'","200'","West","9,700'","",1,1,NA,NA,NA,NA
"2012-12-27","Salt Lake","Cinder Chutes","Skier","Intentionally Triggered","New Snow","12""","30'","500'","East","9,400'","40.671102000000, -111.599936000000",NA,NA,NA,NA,NA,NA
"2012-12-27","Salt Lake","Days Fork","Skier","Intentionally Triggered","Density Change","14""","60'","500'","Northeast","10,400'","40.604928000000, -111.642766000000",NA,NA,NA,NA,NA,NA
"2012-12-27","Salt Lake","Kessler","Skier","Unintentionally Triggered","Facets","3'","50'","500'","North","9,000'","",NA,NA,NA,NA,NA,NA
"2012-12-28","Salt Lake","Gobblers Knob","Skier","Remotely Triggered","Facets","2'","175'","450'","Northwest","9,500'","40.668146000000, -111.689994000000",NA,NA,NA,NA,NA,NA
"2012-12-28","Salt Lake","Alexander Chutes","Skier","Intentionally Triggered","Facets","18""","50'","","Northwest","9,200'","",NA,NA,NA,NA,NA,NA
"2012-12-28","Salt Lake","Lake Mary Chutes","Skier","Intentionally Triggered","New Snow/Old Snow Interface","14""","20'","100'","West","9,800'","40.588602000000, -111.595302000000",NA,NA,NA,NA,NA,NA
"2012-12-26","Skyline","GE Hill","Natural","","Facets","2'","200'","100'","North","9,600'","39.631341000000, -111.331329000000",NA,NA,NA,NA,NA,NA
"2012-12-27","Provo","Bunnels","Natural","","Facets","2.5'","400'","","Northeast","10,400'","40.314866000000, -111.588349000000",NA,NA,NA,NA,NA,NA
"2012-12-28","Salt Lake","Lacawaxan","Snowboarder","Unintentionally Triggered","New Snow/Old Snow Interface","12""","100'","300'","East","10,500'","40.592301000000, -111.560529000000",NA,NA,NA,NA,NA,NA
"2012-12-28","Salt Lake","Wall of Voodoo","Unknown","","","","","","Northeast","9,400'","",NA,NA,NA,NA,NA,NA
"2012-12-26","Logan","Wood Camp","Natural","","Density Change","12""","100'","","East","8,000'","",NA,NA,NA,NA,NA,NA
"2012-12-27","Provo","Box Elder","Natural","","Facets","2.5'","80'","200'","Northwest","10,000'","40.492824000000, -111.700938000000",NA,NA,NA,NA,NA,NA
"2012-12-29","Ogden","Cutler Ridge","Natural","Cornice Triggered","New Snow","2'","50'","100'","East","7,500'","41.374200000000, -111.940491000000",NA,NA,NA,NA,NA,NA
"2012-12-28","Salt Lake","Gobblers Knob","Skier","","Facets","2'","100'","200'","Northwest","9,000'","",NA,NA,NA,NA,NA,NA
"2012-12-31","Salt Lake","Broads Fork","Natural","","","3'","","","North","9,700'","40.602093000000, -111.724091000000",NA,NA,NA,NA,NA,NA
"2013-01-01","Skyline","Rolfson","Unknown","","Facets","3'","175'","","Northeast","9,900'","39.570334000000, -111.293864000000",NA,NA,NA,NA,NA,NA
"2013-01-01","Salt Lake","Pt. Supreme","Skier","Cornice Triggered","Density Change","12""","40'","100'","Southeast","10,400'","40.577260000000, -111.598949000000",NA,NA,NA,NA,NA,NA
"2013-01-02","Salt Lake","Shale Shot","Skier","","","12""","50'","200'","North","9,000'","40.681224000000, -111.595559000000",NA,NA,NA,NA,NA,NA
"2013-01-03","Salt Lake","Wolverine Cirque","Skier","","","","","","","","",NA,NA,NA,NA,NA,NA
"2013-01-09","Salt Lake","Lewis Peak","Snowmobiler","Unintentionally Triggered","Facets","3'","100'","200'","North","9,200'","40.854332000000, -111.479645000000",NA,NA,NA,NA,NA,NA
"2013-01-09","Ogden","Ogden Canyon","Natural","","","","","450'","North","5,500'","41.237028000000, -111.902447000000",NA,NA,NA,NA,NA,NA
"2013-01-09","Logan","Mathews Hollow","Snowmobiler","Unintentionally Triggered","Wet grains","","","","South","7,400'","41.691790000000, -111.733489000000",1,1,1,NA,NA,NA
"2013-01-09","Logan","Providence Quarry","Natural","","Wet grains","10""","40'","300'","South","6,800'","41.690604000000, -111.742887000000",NA,NA,NA,NA,NA,NA
"2013-01-11","Salt Lake","Alexander Basin","Skier","Unintentionally Triggered","Facets","18""","50'","500'","Northeast","9,300'","40.677058000000, -111.682720000000",NA,NA,NA,NA,NA,NA
"2013-01-11","Salt Lake","Mt Aire","","","","","","","","7,000'","",NA,NA,NA,NA,NA,NA
"2013-01-11","Logan","Logan","Natural","Cornice Triggered","Facets","","50'","150'","Northeast","5,300'","41.798959000000, -112.013168000000",NA,NA,NA,NA,NA,NA
"2013-01-12","Salt Lake","West Willow","Skier","Remotely Triggered","Density Change","12""","30'","60'","Northeast","9,200'","40.643364000000, -111.595044000000",NA,NA,NA,NA,NA,NA
"2013-01-12","Salt Lake","Mt Aire","Skier","Remotely Triggered","Facets","18""","100'","700'","Northeast","7,900'","40.721235000000, -111.677012000000",NA,NA,NA,NA,NA,NA
"2013-01-12","Salt Lake","Mt Aire","Skier","Remotely Triggered","Facets","20""","70'","","Northeast","8,100'","40.718711000000, -111.678987000000",NA,NA,NA,NA,NA,NA
"2013-01-12","Salt Lake","West Porter","Skier","","Facets","2'","700'","800'","Northeast","9,400'","40.668758000000, -111.723318000000",2,2,1,1,1,NA
"2013-01-12","Salt Lake","Antelope Island","Skier","Unintentionally Triggered","Depth Hoar","18""","20'","150'","Northeast","","40.980125000000, -112.207875000000",1,NA,NA,NA,NA,NA
"2013-01-12","Salt Lake","Scotties Bowl","Skier","Remotely Triggered","Facets","11""","80'","200'","Northwest","9,500'","40.564449000000, -111.677012000000",NA,NA,NA,NA,NA,NA
"2013-01-13","Salt Lake","Cardiac Ridge","Natural","","","","200'","450'","East","10,000'","40.603396000000, -111.664352000000",NA,NA,NA,NA,NA,NA
"2013-01-12","Salt Lake","Broads Fork","Natural","","Depth Hoar","2'","300'","800'","Northeast","10,300'","40.596326000000, -111.719799000000",NA,NA,NA,NA,NA,NA
"2013-01-12","Salt Lake","Depth Hoar Bowl","Skier","Remotely Triggered","Facets","18""","125'","350'","Northeast","9,300'","40.677937000000, -111.683922000000",1,1,1,NA,NA,NA
"2013-01-13","Salt Lake","West Monitor","Unknown","","","","100'","","East","9,800'","",NA,NA,NA,NA,NA,NA
"2013-01-11","Logan","Logan Peak","Natural","","New Snow/Old Snow Interface","12""","","","Northwest","9,000'","41.710502000000, -111.733017000000",NA,NA,NA,NA,NA,NA
"2013-01-11","Salt Lake","Diving Board","Natural","","Facets","2.5'","300'","1,250'","East","10,300'","40.596880000000, -111.719885000000",NA,NA,NA,NA,NA,NA
"2013-01-13","Salt Lake","West Monitor","Skier","Cornice Triggered","","","","500'","Northeast","9,500'","40.649485000000, -111.584916000000",NA,NA,NA,NA,NA,NA
"2013-01-15","Salt Lake","Superior","Natural","","","","60'","250'","South","11,000'","",NA,NA,NA,NA,NA,NA
"2013-01-15","Salt Lake","Little Superior","Skier","Unintentionally Triggered","Facets","2.5'","400'","1,250'","Southeast","10,000'","40.592089000000, -111.666713000000",1,NA,NA,NA,NA,NA
"2013-01-16","Salt Lake","Two Trees","Skier","Unintentionally Triggered","","","","","","","40.593165000000, -111.657314000000",NA,NA,NA,NA,NA,NA
"2013-01-17","Salt Lake","Cardiac Ridge","","Remotely Triggered","","6""","20'","150'","East","10,200'","40.601181000000, -111.667163000000",NA,NA,NA,NA,NA,NA
"2013-01-15","Provo","Major Evans","Unknown","","","","","","Northeast","10,400'","40.531806000000, -111.648173000000",NA,NA,NA,NA,NA,NA
"2012-12-27","Skyline","South Fork North Creek","Natural","","Facets","3'","2,500'","700'","North","9,900'","39.551819000000, -111.317339000000",NA,NA,NA,NA,NA,NA
